idx,ligand,receptor,weight,family,family_cn,group,in_cellchat,homotypic
1,Ntng1,Ntrk2,0.95,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,否,
2,Bdnf,Ntrk2,0.92,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
3,Ntf3,Ntrk3,0.9,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
4,Ngf,Ntrk1,0.88,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
5,Gdnf,Gfra1,0.85,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
6,Artn,Gfra3,0.8,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
7,Nrtn,Gfra2,0.78,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
8,Fgf8,Fgfr1,0.9,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
9,Fgf15,Fgfr2,0.85,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
10,Fgf10,Fgfr2,0.82,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
11,Fgf2,Fgfr1,0.88,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
12,Egf,Egfr,0.85,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
13,Hgf,Met,0.83,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
14,Vegfa,Kdr,0.9,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
15,Vegfb,Flt1,0.78,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
16,Pdgfa,Pdgfra,0.8,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
17,Pdgfb,Pdgfrb,0.82,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
18,Igf1,Igf1r,0.85,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
19,Igf2,Igf1r,0.8,Neurotrophin / Growth Factor,神经营养因子/生长因子,Neurotrophin / Growth Factor,是,
20,Wnt3a,Fzd1,0.88,Wnt,Wnt,Wnt / Notch,是,
21,Wnt5a,Fzd5,0.85,Wnt,Wnt,Wnt / Notch,是,
22,Wnt7a,Fzd10,0.82,Wnt,Wnt,Wnt / Notch,是,
23,Wnt1,Fzd1,0.8,Wnt,Wnt,Wnt / Notch,是,
24,Dll1,Notch1,0.9,Notch,Notch,Wnt / Notch,是,
25,Dll4,Notch4,0.85,Notch,Notch,Wnt / Notch,是,
26,Jag1,Notch1,0.88,Notch,Notch,Wnt / Notch,是,
27,Jag2,Notch2,0.83,Notch,Notch,Wnt / Notch,是,
28,Efnb1,Ephb2,0.9,Ephrin,Ephrin,Ephrin / Semaphorin,是,
29,Efna1,Epha4,0.85,Ephrin,Ephrin,Ephrin / Semaphorin,是,
30,Efnb2,Ephb4,0.82,Ephrin,Ephrin,Ephrin / Semaphorin,是,
31,Efna5,Epha3,0.78,Ephrin,Ephrin,Ephrin / Semaphorin,是,
32,Sema3a,Nrp1,0.9,Semaphorin,Semaphorin,Ephrin / Semaphorin,是,
