============================================================
  LROT Parameter Sensitivity (α × β), γ=0.1, 1000 spots
============================================================

  α     β     LROT_Acc  LROT_Ent  FGW_Acc   FGW_Ent   
  ----------------------------------------------------
  0.20  0.10  0.7420    5.2380    0.7390    5.4040    
  0.20  0.30  0.7240    5.1955    0.7220    5.3460    
  0.20  0.50  0.5970    5.0968    0.6000    5.2268    
  0.35  0.10  0.7090    4.3741    0.7170    4.5226    
  0.35  0.30  0.7210    4.5914    0.7160    4.7235    
  0.35  0.50  0.7130    4.7032    0.7180    4.8219    
  0.50  0.10  0.6970    3.5408    0.7040    3.6524    
  0.50  0.30  0.7120    3.9279    0.7110    4.0351    
  0.50  0.50  0.7160    4.1967    0.7070    4.2970    
  0.65  0.10  0.6960    2.8633    0.7020    2.9415    
  0.65  0.30  0.6990    3.2978    0.7030    3.3797    
  0.65  0.50  0.7080    3.6552    0.7080    3.7353    
  0.80  0.10  0.6920    2.3652    0.6980    2.4160    
  0.80  0.30  0.6950    2.7734    0.7010    2.8320    
  0.80  0.50  0.6970    3.1479    0.7010    3.2107    

LROT 熵范围: 2.3652 - 5.2380 (CV=22.9%)
LROT 精度范围: 0.5970 - 0.7420
熵降范围 (vs FGW): 0.0507 - 0.1660
