==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
----------------------------------------------------------------------------------------------------------------
GO:0007166   cell surface receptor signaling pathway                 102    2133     12.0 1.1e-102    4.9e-99
GO:0009653   anatomical structure morphogenesis                       95    2482      9.6  1.6e-82    3.5e-79
GO:0048731   system development                                      104    3887      6.7  1.0e-80    1.4e-77
GO:0007275   multicellular organism development                      104    4410      5.9  3.9e-75    4.1e-72
GO:0040012   regulation of locomotion                                 74    1193     15.6  1.3e-72    1.1e-69
GO:0048513   animal organ development                                 96    3326      7.3  1.6e-72    1.1e-69
GO:0160108   animal gross anatomical part developmental process      105    4971      5.3  8.2e-72    5.0e-69
GO:0051094   positive regulation of developmental process             77    1632     11.9  1.2e-67    6.4e-65
GO:0030334   regulation of cell migration                             69    1078     16.1  1.7e-67    7.9e-65
GO:0022603   regulation of anatomical structure morphogenesis         67     964     17.5  2.0e-67    8.7e-65
GO:0022008   neurogenesis                                             76    1604     11.9  1.2e-66    4.7e-64
GO:0009967   positive regulation of signal transduction               79    1878     10.6  3.3e-66    1.2e-63
GO:2000145   regulation of cell motility                              69    1139     15.2  6.0e-66    2.0e-63
GO:0007399   nervous system development                               83    2304      9.1  1.8e-65    5.6e-63
GO:0050793   regulation of developmental process                      88    2916      7.6  1.0e-64    2.9e-62
GO:0048856   anatomical structure development                        105    5877      4.5  2.5e-64    6.8e-62
GO:0030154   cell differentiation                                     95    3976      6.0  9.8e-64    2.4e-61
GO:0048869   cellular developmental process                           95    3977      6.0  1.0e-63    2.4e-61
GO:0010647   positive regulation of cell communication                81    2238      9.1  1.9e-63    4.4e-61
GO:0051240   positive regulation of multicellular organismal proces   79    2055      9.7  2.9e-63    6.1e-61
GO:0051239   regulation of multicellular organismal process           91    3515      6.5  2.5e-62    5.0e-60
GO:2000026   regulation of multicellular organismal development       74    1685     11.0  4.4e-62    8.5e-60
GO:0023056   positive regulation of signaling                         80    2239      9.0  6.1e-62    1.1e-59
GO:0048468   cell development                                         85    2805      7.6  1.3e-61    2.3e-59
GO:0035239   tube morphogenesis                                       59     742     20.0  2.4e-61    4.2e-59
GO:0032502   developmental process                                   105    6311      4.2  3.9e-61    6.4e-59
GO:0048584   positive regulation of response to stimulus              84    2743      7.7  6.3e-61    9.9e-59
GO:0016477   cell migration                                           64    1033     15.6  7.6e-61    1.2e-58
GO:0009888   tissue development                                       77    2040      9.5  1.5e-60    2.2e-58
GO:0007165   signal transduction                                     103    5944      4.4  3.8e-60    5.4e-58
GO:0007167   enzyme-linked receptor protein signaling pathway         57     687     20.9  5.8e-60    7.9e-58
GO:0045595   regulation of cell differentiation                       75    1895     10.0  5.9e-60    7.9e-58
GO:0035295   tube development                                         63    1033     15.3  2.6e-59    3.3e-57
GO:0048583   regulation of response to stimulus                       96    4648      5.2  4.7e-59    5.9e-57
GO:0030182   neuron differentiation                                   67    1309     12.9  5.2e-59    6.3e-57
GO:0009966   regulation of signal transduction                        88    3445      6.4  1.2e-58    1.5e-56
GO:0009887   animal organ morphogenesis                               64    1143     14.1  3.4e-58    3.9e-56
GO:0010646   regulation of cell communication                         92    4103      5.6  6.1e-58    6.8e-56
GO:0023052   signaling                                               103    6254      4.1  6.2e-58    6.8e-56
GO:0072359   circulatory system development                           62    1036     15.1  9.8e-58    1.0e-55
GO:0007154   cell communication                                      103    6318      4.1  1.7e-57    1.8e-55
GO:0048699   generation of neurons                                    67    1392     12.1  2.5e-57    2.6e-55
GO:0040017   positive regulation of locomotion                        55     684     20.2  6.7e-57    6.6e-55
GO:0023051   regulation of signaling                                  91    4096      5.6  1.5e-56    1.5e-54
GO:0048729   tissue morphogenesis                                     55     711     19.5  4.9e-56    4.7e-54
GO:1902533   positive regulation of intracellular signal transducti   65    1316     12.4  6.1e-56    5.7e-54
GO:0030335   positive regulation of cell migration                    53     634     21.0  2.0e-55    1.8e-53
GO:0000902   cell morphogenesis                                       57     846     17.0  3.9e-55    3.5e-53
GO:0048870   cell motility                                            64    1312     12.3  1.4e-54    1.2e-52
GO:2000147   positive regulation of cell motility                     53     662     20.1  1.7e-54    1.4e-52
GO:0048646   anatomical structure formation involved in morphogenes   59     999     14.9  3.5e-54    3.0e-52
GO:0048514   blood vessel morphogenesis                               47     424     27.9  6.1e-54    5.0e-52
GO:0001944   vasculature development                                  51     591     21.7  8.8e-54    7.1e-52
GO:0042127   regulation of cell population proliferation              70    1855      9.5  1.6e-53    1.3e-51
GO:0032501   multicellular organismal process                        106    7908      3.4  7.1e-53    5.5e-51
GO:0048812   neuron projection morphogenesis                          50     575     21.9  8.9e-53    6.8e-51
GO:0120039   plasma membrane bounded cell projection morphogenesis    50     582     21.6  1.6e-52    1.2e-50
GO:0048858   cell projection morphogenesis                            50     590     21.3  3.0e-52    2.2e-50
GO:0001568   blood vessel development                                 49     547     22.5  3.3e-52    2.4e-50
GO:0001525   angiogenesis                                             42     298     35.5  7.1e-52    5.1e-50
GO:0043410   positive regulation of MAPK cascade                      48     549     22.0  1.4e-50    9.8e-49
GO:1902531   regulation of intracellular signal transduction          71    2196      8.1  5.3e-50    3.6e-48
GO:0051716   cellular response to stimulus                           104    7818      3.3  7.4e-50    5.0e-48
GO:0050767   regulation of neurogenesis                               46     485     23.9  8.1e-50    5.4e-48
GO:0071363   cellular response to growth factor stimulus              47     530     22.3  1.0e-49    6.9e-48
GO:0045597   positive regulation of cell differentiation              57    1083     13.2  2.1e-49    1.4e-47
GO:0007169   cell surface receptor protein tyrosine kinase signalin   45     457     24.8  2.5e-49    1.6e-47
GO:0060429   epithelium development                                   60    1301     11.6  3.4e-49    2.2e-47
GO:0031175   neuron projection development                            53     851     15.7  4.3e-49    2.7e-47
GO:0007411   axon guidance                                            39     263     37.3  8.9e-49    5.4e-47
GO:0048666   neuron development                                       56    1049     13.4  1.0e-48    6.0e-47
GO:0097485   neuron projection guidance                               39     265     37.0  1.2e-48    6.9e-47
GO:0070848   response to growth factor                                47     562     21.0  1.4e-48    8.0e-47
GO:0043408   regulation of MAPK cascade                               51     778     16.5  4.4e-48    2.5e-46
GO:0002009   morphogenesis of an epithelium                           47     583     20.3  6.8e-48    3.9e-46
GO:0048522   positive regulation of cellular process                  99    6836      3.6  7.7e-48    4.4e-46
GO:0051960   regulation of nervous system development                 47     590     20.0  1.1e-47    6.4e-46
GO:0048667   cell morphogenesis involved in neuron differentiation    45     519     21.8  5.1e-47    2.8e-45
GO:0051128   regulation of cellular component organization            75    2903      6.5  7.2e-47    3.9e-45
GO:0048518   positive regulation of biological process               100    7274      3.5  1.0e-46    5.5e-45
GO:0007409   axonogenesis                                             42     408     25.9  1.4e-46    7.3e-45
GO:0060284   regulation of cell development                           53     998     13.4  1.2e-45    6.1e-44
GO:0008284   positive regulation of cell population proliferation     54    1110     12.2  1.0e-44    5.3e-43
GO:0071495   cellular response to endogenous stimulus                 53    1054     12.7  1.7e-44    8.9e-43
GO:0061564   axon development                                         42     470     22.5  3.4e-44    1.7e-42
GO:0050920   regulation of chemotaxis                                 35     230     38.3  5.9e-44    2.9e-42
GO:0006935   chemotaxis                                               38     326     29.3  8.0e-44    3.9e-42
GO:0042330   taxis                                                    38     328     29.1  9.9e-44    4.8e-42
GO:0061138   morphogenesis of a branching epithelium                  34     207     41.3  1.1e-43    5.2e-42
GO:0048732   gland development                                        43     530     20.4  1.2e-43    5.9e-42
GO:0001763   morphogenesis of a branching structure                   34     219     39.1  6.2e-43    2.9e-41
GO:0030155   regulation of cell adhesion                              49     880     14.0  9.2e-43    4.3e-41
GO:0040011   locomotion                                               38     365     26.2  4.2e-42    1.9e-40
GO:0009719   response to endogenous stimulus                          56    1408     10.0  4.9e-42    2.2e-40
GO:0051897   positive regulation of phosphatidylinositol 3-kinase/p   34     235     36.4  5.5e-42    2.5e-40
GO:0120036   plasma membrane bounded cell projection organization     55    1370     10.1  2.2e-41    9.9e-40
GO:0030030   cell projection organization                             55    1381     10.0  3.3e-41    1.5e-39
GO:0007507   heart development                                        44     672     16.5  6.7e-41    2.9e-39
GO:0060485   mesenchyme development                                   34     257     33.3  9.0e-41    3.9e-39
GO:0050896   response to stimulus                                    105   10167      2.6  7.0e-40    3.0e-38
GO:0009790   embryo development                                       53    1307     10.2  7.2e-40    3.0e-38
GO:0060562   epithelial tube morphogenesis                            37     388     24.0  1.2e-39    5.1e-38
GO:0048754   branching morphogenesis of an epithelial tube            30     174     43.4  5.0e-39    2.1e-37
GO:0051130   positive regulation of cellular component organization   53    1368      9.7  6.7e-39    2.8e-37
GO:0007417   central nervous system development                       49    1073     11.5  7.8e-39    3.2e-37
GO:0010975   regulation of neuron projection development              41     596     17.3  9.7e-39    3.9e-37
GO:0051962   positive regulation of nervous system development        36     385     23.5  3.0e-38    1.2e-36
GO:0031344   regulation of cell projection organization               45     845     13.4  3.8e-38    1.5e-36
GO:0051093   negative regulation of developmental process             49    1117     11.0  4.8e-38    1.9e-36
GO:0010720   positive regulation of cell development                  40     574     17.5  6.0e-38    2.3e-36
GO:0060322   head development                                         45     857     13.2  6.9e-38    2.7e-36
GO:0050769   positive regulation of neurogenesis                      34     324     26.4  1.3e-37    4.8e-36
GO:0051896   regulation of phosphatidylinositol 3-kinase/protein ki   34     328     26.1  1.9e-37    7.1e-36
GO:0120035   regulation of plasma membrane bounded cell projection    44     828     13.4  3.5e-37    1.3e-35
GO:0051241   negative regulation of multicellular organismal proces   51    1323      9.7  3.9e-37    1.5e-35
GO:0048519   negative regulation of biological process                88    6317      3.5  7.8e-37    2.9e-35
GO:0048762   mesenchymal cell differentiation                         29     188     38.8  1.9e-36    7.1e-35
GO:0048523   negative regulation of cellular process                  86    6010      3.6  2.6e-36    9.3e-35
GO:0032101   regulation of response to external stimulus              50    1303      9.7  3.2e-36    1.2e-34
GO:0022612   gland morphogenesis                                      26     123     53.2  7.4e-36    2.6e-34
GO:0048585   negative regulation of response to stimulus              57    1975      7.3  1.4e-35    5.0e-34
GO:0042325   regulation of phosphorylation                            42     789     13.4  2.1e-35    7.4e-34
GO:0003007   heart morphogenesis                                      32     304     26.5  2.1e-35    7.4e-34
GO:0040008   regulation of growth                                     40     692     14.5  6.3e-35    2.2e-33
GO:0045596   negative regulation of cell differentiation              42     813     13.0  6.8e-35    2.3e-33
GO:0050678   regulation of epithelial cell proliferation              34     403     21.2  1.2e-34    4.1e-33
GO:0045937   positive regulation of phosphate metabolic process       36     496     18.3  1.4e-34    4.9e-33
GO:0050921   positive regulation of chemotaxis                        27     165     41.2  1.5e-34    5.1e-33
GO:0048638   regulation of developmental growth                       34     408     21.0  1.8e-34    6.0e-33
GO:0001822   kidney development                                       33     370     22.4  2.5e-34    8.2e-33
GO:0001932   regulation of protein phosphorylation                    40     727     13.8  3.9e-34    1.3e-32
GO:0010604   positive regulation of macromolecule metabolic process   70    3693      4.8  4.1e-34    1.3e-32
GO:0072001   renal system development                                 33     383     21.7  7.1e-34    2.3e-32
GO:0009893   positive regulation of metabolic process                 72    4017      4.5  7.3e-34    2.3e-32
GO:0050770   regulation of axonogenesis                               27     180     37.7  1.3e-33    4.1e-32
GO:0050794   regulation of cellular process                          109   13695      2.0  1.7e-33    5.3e-32
GO:0042327   positive regulation of phosphorylation                   35     488     18.0  2.1e-33    6.6e-32
GO:0031346   positive regulation of cell projection organization      35     497     17.7  3.8e-33    1.2e-31
GO:0043067   regulation of programmed cell death                      53    1796      7.4  3.9e-33    1.2e-31
GO:0001934   positive regulation of protein phosphorylation           34     457     18.7  6.4e-33    2.0e-31
GO:0007423   sensory organ development                                39     733     13.4  1.0e-32    3.2e-31
GO:0007420   brain development                                        40     797     12.6  1.2e-32    3.5e-31
GO:0050789   regulation of biological process                        109   14171      1.9  6.8e-32    2.0e-30
GO:0048568   embryonic organ development                              35     555     15.9  1.4e-31    4.1e-30
GO:0043069   negative regulation of programmed cell death             44    1138      9.7  1.4e-31    4.2e-30
GO:0070372   regulation of ERK1 and ERK2 cascade                      30     330     22.9  2.2e-31    6.5e-30
GO:0030855   epithelial cell differentiation                          37     691     13.5  4.9e-31    1.4e-29
GO:0050679   positive regulation of epithelial cell proliferation     27     232     29.3  6.8e-31    2.0e-29
GO:0042981   regulation of apoptotic process                          50    1734      7.3  1.6e-30    4.5e-29
GO:0031399   regulation of protein modification process               41     983     10.5  1.7e-30    5.0e-29
GO:0042221   response to chemical                                     76    5204      3.7  1.9e-30    5.4e-29
GO:0065007   biological regulation                                   109   14659      1.9  2.7e-30    7.6e-29
GO:0051246   regulation of protein metabolic process                  51    1863      6.9  3.5e-30    9.7e-29
GO:0043066   negative regulation of apoptotic process                 42    1090      9.7  5.8e-30    1.6e-28
GO:0009605   response to external stimulus                            54    2213      6.1  8.2e-30    2.3e-28
GO:0070374   positive regulation of ERK1 and ERK2 cascade             26     225     29.1  1.1e-29    3.1e-28
GO:2000027   regulation of animal organ morphogenesis                 21      98     53.9  3.9e-29    1.1e-27
GO:0031401   positive regulation of protein modification process      34     604     14.2  4.2e-29    1.1e-27
GO:0003205   cardiac chamber development                              25     205     30.7  4.5e-29    1.2e-27
GO:0045927   positive regulation of growth                            28     321     21.9  8.3e-29    2.2e-27
GO:0045165   cell fate commitment                                     27     285     23.8  1.1e-28    3.0e-27
GO:0048598   embryonic morphogenesis                                  35     684     12.9  1.2e-28    3.1e-27
GO:0003206   cardiac chamber morphogenesis                            23     156     37.1  1.7e-28    4.4e-27
GO:0003279   cardiac septum development                               22     132     41.9  2.4e-28    6.2e-27
GO:0060411   cardiac septum morphogenesis                             20      87     57.8  2.6e-28    6.7e-27
GO:0048639   positive regulation of developmental growth              25     227     27.7  4.6e-28    1.2e-26
GO:0030900   forebrain development                                    31     489     15.9  5.9e-28    1.5e-26
GO:0035272   exocrine system development                              18      55     82.3  6.0e-28    1.5e-26
GO:0022407   regulation of cell-cell adhesion                         32     547     14.7  7.7e-28    1.9e-26
GO:0045785   positive regulation of cell adhesion                     32     554     14.5  1.1e-27    2.8e-26
GO:0010557   positive regulation of macromolecule biosynthetic proc   58    2962      4.9  1.7e-27    4.3e-26
GO:0051247   positive regulation of protein metabolic process         39    1026      9.6  1.8e-27    4.6e-26
GO:0008285   negative regulation of cell population proliferation     35     762     11.6  3.8e-27    9.5e-26
GO:1901342   regulation of vasculature development                    27     334     20.3  6.0e-27    1.5e-25
GO:0060688   regulation of morphogenesis of a branching structure     18      66     68.6  1.0e-26    2.5e-25
GO:0007389   pattern specification process                            30     486     15.5  1.0e-26    2.5e-25
GO:0032103   positive regulation of response to external stimulus     34     720     11.9  1.0e-26    2.5e-25
GO:1901700   response to oxygen-containing compound                   48    1899      6.4  1.1e-26    2.7e-25
GO:0072073   kidney epithelium development                            22     163     34.0  1.6e-26    3.9e-25
GO:0060255   regulation of macromolecule metabolic process            80    6740      3.0  1.7e-26    4.0e-25
GO:0040007   growth                                                   31     553     14.1  2.0e-26    4.7e-25
GO:0048589   developmental growth                                     31     553     14.1  2.0e-26    4.7e-25
GO:0009891   positive regulation of biosynthetic process              58    3117      4.7  2.3e-26    5.4e-25
GO:0003170   heart valve development                                  18      70     64.7  2.5e-26    5.9e-25
GO:0003179   heart valve morphogenesis                                17      56     76.4  5.8e-26    1.3e-24
GO:1905314   semi-lunar valve development                             16      42     95.8  8.0e-26    1.9e-24
GO:0065008   regulation of biological quality                         61    3614      4.2  8.6e-26    2.0e-24
GO:0009792   embryo development ending in birth or egg hatching       36     915      9.9  9.8e-26    2.2e-24
GO:0009968   negative regulation of signal transduction               43    1545      7.0  3.2e-25    7.3e-24
GO:0019222   regulation of metabolic process                          81    7256      2.8  3.7e-25    8.4e-24
GO:0007435   salivary gland morphogenesis                             15      34    111.0  4.8e-25    1.1e-23
GO:0043009   chordate embryonic development                           35     895      9.8  6.6e-25    1.5e-23
GO:0043010   camera-type eye development                              27     418     16.3  1.6e-24    3.6e-23
GO:0010628   positive regulation of gene expression                   41    1437      7.2  2.4e-24    5.4e-23
GO:0007431   salivary gland development                               15      40     94.3  3.5e-24    7.7e-23
GO:0003002   regionalization                                          27     437     15.5  4.9e-24    1.1e-22
GO:1905330   regulation of morphogenesis of an epithelium             17      76     56.3  5.3e-24    1.1e-22
GO:0010594   regulation of endothelial cell migration                 21     183     28.9  5.6e-24    1.2e-22
GO:0008283   cell population proliferation                            31     678     11.5  6.7e-24    1.4e-22
GO:0023057   negative regulation of signaling                         43    1673      6.5  6.9e-24    1.5e-22
GO:0061387   regulation of extent of cell growth                      19     125     38.2  7.1e-24    1.5e-22
GO:0010648   negative regulation of cell communication                43    1678      6.4  7.7e-24    1.6e-22
GO:0001558   regulation of cell growth                                27     458     14.8  1.6e-23    3.3e-22
GO:1904018   positive regulation of vasculature development           21     196     27.0  2.1e-23    4.4e-22
GO:0001654   eye development                                          27     471     14.4  3.1e-23    6.5e-22
GO:0150063   visual system development                                27     474     14.3  3.7e-23    7.6e-22
GO:0045765   regulation of angiogenesis                               24     327     18.5  4.8e-23    9.9e-22
GO:0048863   stem cell differentiation                                21     205     25.8  5.0e-23    1.0e-21
GO:0051961   negative regulation of nervous system development        20     171     29.4  5.1e-23    1.0e-21
